StorviltID;KategoriSkutt;SkuttDato;SettOgSkuttUid;Merkelappnummer;Art;Slaktevekt;KontrollertVekt;Jaktfeltid
5993;22;28/09/2024 17:15:00;;;1;71,0;;3421J0098
42946;11;01/10/2024 18:10:00;FA092270-1138-4A1C-B065-1E05BC119B0D;;1;70,0;;0000J0018
42948;32;01/10/2024 11:38:00;CF4A3FEC-495A-4D37-A7A9-AB6684619589;;1;12,0;;0000J0018
42961;31;31/08/2024 06:09:00;E0515E2A-06C5-48A1-B0A2-E85B7486196E;;2;5,0;70,0;0000J0018
42981;21;06/09/2024 11:39:00;64319AFF-EB47-4EC6-B3A8-11D74D9693BC;;1;300,0;305,0;0000J0018
57481;11;13/09/2024 00:00:00;eb165fdd-7504-409d-beda-377ef7c842be;;1;66,0;;0000J0018
57532;21;27/09/2024 00:00:00;9632f604-50f8-4ba2-805b-2d3b81b9baa2;;1;1209,0;121,0;5044J0055
57536;11;25/09/2024 11:29:00;821EEFBE-DECC-4399-A235-B72A2DD05707;;1;75,0;75,0;5044J0006
57537;12;30/09/2024 11:32:00;54C17605-FE86-4A97-BF55-59F4945F8DB9;;1;;;5044J0006
57542;21;29/09/2024 00:00:00;dc3159d1-384d-4155-8e90-c2abb21fa98c;;1;113,0;113,0;5044J0009
57547;11;30/09/2024 16:33:00;0F7F1456-60CD-43D5-A309-55D61F487E53;100000104353;1;70,0;70,0;5044J0010
57551;12;26/09/2024 21:20:00;B0C8C71F-EAA9-4F63-8EE9-5D833779F11B;;1;51,0;51,0;5044J0036
57552;21;28/09/2024 14:20:00;7526A8FD-4DC1-4E9F-BD4D-3F129DBCB13D;;1;127,0;127,0;5044J0036
57553;31;26/09/2024 00:00:00;165d9c28-d1d3-4869-bbf8-9addc3005745;;1;217,0;217,0;3441J0057
57554;32;28/09/2024 00:00:00;ede7a61b-bec5-4c62-9e7f-3d32f27050f2;;1;;158,0;3441J0057
57555;21;28/09/2024 00:00:00;27de055b-1b7f-46de-af5a-f4c6b8d68fe6;;1;187,0;187,0;3441J0057
57558;31;25/09/2024 12:14:00;844BAC7A-5D0D-404D-82A9-045336252A82;;1;;215,0;3441J0058
57561;21;28/09/2024 15:21:00;0CE50953-5929-420D-877D-BD5D55E84FCA;;1;;;3441J0058
57562;11;27/09/2024 08:18:00;AFB407EA-577F-490F-93BE-BA8D711F2ED6;;1;;55,0;3441J0058
57578;12;01/10/2024 00:00:00;54358325-7f6a-473e-835f-d61a581b6dfa;;1;;;5601J0032
57579;12;01/10/2024 00:00:00;3fb94442-f548-4adc-b1f9-480b89196967;;1;;;5601J0032
57580;32;26/09/2024 10:14:00;;;1;213,0;;5601J0017
57585;11;01/10/2024 18:29:00;;;1;82,0;;5601J0003
57590;31;29/09/2024 00:00:00;9583bb02-e5c5-4e83-a3ba-4d73a39b54e9;;1;;;5601J0019
57591;32;01/10/2024 00:00:00;d393f936-e4f7-4184-8a38-d49c9f572f2f;;1;;;5601J0019
57592;11;01/10/2024 00:00:00;97f3383c-a66c-4863-9425-dd59548da319;;1;;;5601J0019
57595;12;26/09/2024 19:18:00;62B28F57-9749-4E9E-8909-61FFD7E6AD24;;1;72,0;;5601J0011
57598;31;30/09/2024 00:00:00;340cf66f-05a2-4981-9c10-dd0c33905a8b;;1;;;5601J0008
57608;22;25/09/2024 00:00:00;ecc400fa-2484-4933-8b14-4e7d741cc21c;;1;140,0;;5632J0001
57609;21;30/09/2024 16:06:00;4D05092D-DEA5-4690-90A9-F22C92935E2A;;1;;;5632J0001
57610;31;28/09/2024 00:00:00;99f142f5-cba8-4548-8d1c-c6fd9e282988;;1;230,0;;5632J0001
57615;11;25/09/2024 00:00:00;cce1fdef-0512-4482-ab4f-9a5fe11d7eee;;1;70,0;;5630J0001
57616;31;25/09/2024 00:00:00;a260bf2d-a6b9-4157-ac93-3c815603e43b;;1;165,0;175,0;5630J0001
57617;11;29/09/2024 00:00:00;0f24b251-87ab-4181-909f-dfb7132c21b5;;1;71,0;;5630J0001
57619;21;27/09/2024 07:45:00;12129083-20F3-488D-9905-186A683EF183;;1;133,0;;5630J0002
57620;31;25/09/2024 00:00:00;203c44a8-9e22-4b4c-a50e-1f467a4e60b0;;1;189,0;;5630J0002
57629;22;02/10/2024 00:00:00;c2691f02-44f0-445f-962d-08d145869526;;1;;;5610J0001
57630;31;09/09/2024 00:00:00;56cf0c2f-2cb8-4e32-bdf9-b2f580416a2a;;1;165,0;;5610J0001
57631;11;21/09/2024 00:00:00;88D13908-E3D8-46F9-B0AE-6D65FE2C611B;;1;35,0;;5610J0062
57632;31;08/09/2024 00:00:00;D438E2B4-8232-4CDE-B1D4-FBBF1CB3D6A0;;1;226,0;;5610J0062
57635;12;07/09/2024 00:00:00;fbed813f-47c2-4070-aa6d-d665ceb1ca92;;1;55,0;;5610J0003
57636;31;29/09/2024 00:00:00;0768c315-9cda-40b6-bcf0-e44c2d8ba51b;;1;280,0;276,0;5610J0003
57639;21;12/09/2024 00:00:00;ed597cfa-fa20-4add-93d9-f8462c98504c;;1;91,0;93,0;5610J0005
57640;31;23/09/2024 00:00:00;eab4ae6a-e848-4a83-b97f-226da9b6a414;;1;196,0;;5610J0005
57641;22;28/09/2024 19:00:00;1C10A2BF-94FD-47C1-87F8-A5C97E947724;;1;109,0;;5610J0006
57645;12;11/09/2024 00:00:00;4de9fa26-698a-482e-93c5-0e9f7a5896d9;;1;52,0;;5610J0007
57646;31;07/09/2024 00:00:00;4008e91e-91b7-413b-8f14-2d4d4533d8cd;;1;171,0;;5610J0007
57647;21;09/09/2024 08:12:00;;;1;106,0;;5610J0008
57649;21;06/09/2024 00:00:00;;;1;101,0;;5610J0009
57650;31;14/09/2024 00:00:00;;;1;165,0;;5610J0009
57651;12;07/09/2024 18:00:00;;;1;50,0;;5610J0011
57652;31;08/09/2024 10:51:00;;;1;236,0;;5610J0011
57653;12;06/09/2024 00:00:00;c62549fa-3cfc-4347-af5d-af234c81ca74;;1;42,0;;5610J0012
57654;31;08/09/2024 00:00:00;26963bf4-f60f-4e20-aa33-d1e19ccf12bc;;1;250,0;;5610J0012
57655;12;14/09/2024 00:00:00;c2583457-8b59-44b3-962e-8676fca89320;;1;51,0;;5610J0013
57657;12;06/09/2024 00:00:00;;;1;49,0;;5610J0058
57659;31;30/09/2024 00:00:00;02d37ec4-98c1-43c2-82e6-6b1a9d4d8be6;;1;184,0;;5610J0014
57660;21;08/09/2024 00:00:00;40b8e03e-2d3b-4da8-a5bc-e41634b0802b;;1;143,0;;5610J0014
57661;21;16/09/2024 00:00:00;;;1;142,0;;5610J0015
57664;21;07/09/2024 00:00:00;37f4ae94-6df6-4327-b0b4-501c47b31bf4;;1;130,0;;5610J0016
57665;22;05/09/2024 15:40:00;;;1;85,0;;5610J0017
57666;32;14/09/2024 00:00:00;1656a2f3-b6a4-4948-87ae-0746e92c32ce;;1;144,0;;5610J0017
57667;12;11/09/2024 00:00:00;49CA8F51-48C9-40A6-801D-275F0F32FD12;;1;48,0;;5610J0018
57668;31;07/09/2024 00:00:00;782e7d86-2fad-40eb-9d77-dab91d1b053f;;1;163,0;;5610J0018
57669;12;02/09/2024 00:00:00;b05afaa5-b933-435f-8145-efb68d2f8aa3;;1;36,0;;5610J0057
57670;31;15/09/2024 00:00:00;5e89b8ba-a028-481b-8cb9-fdbc33eb2648;;1;255,0;;5610J0057
57673;12;03/09/2024 00:00:00;b18b657e-caec-4a3e-b7c9-6dcda7d41628;;1;51,0;;5610J0020
57674;31;01/09/2024 00:00:00;f2d61111-1721-473b-91ad-cdc0179f768f;;1;220,0;;5610J0020
57677;12;01/09/2024 00:00:00;dbcd6fc8-3905-4394-b929-3a954f040e84;;1;57,0;;5610J0060
57678;32;01/09/2024 00:00:00;45f1f723-7aa1-47d0-8323-d751506462e7;;1;154,0;;5610J0060
57682;31;19/09/2024 22:32:00;5B2FF830-6C2E-49C5-B565-8FDA00AFB7B0;;1;;;5610J0049
57684;31;27/09/2024 00:00:00;77babdee-e330-4b64-949a-e2b5a2d51b14;;1;198,0;;5610J0021
57687;21;03/09/2024 20:46:00;5E9D613D-737E-477F-A514-67727C0DE61D;;1;107,0;;5610J0023
57688;22;06/09/2024 00:00:00;B1D07A4B-7C13-429C-9461-A71196C07CE8;;1;113,0;;5610J0023
57690;32;04/09/2024 00:00:00;;;1;205,0;;5610J0024
57691;22;01/09/2024 00:00:00;D041EB85-23B2-4DC4-9B11-5633D67E1EE2;;1;138,0;;5610J0025
57692;31;01/09/2024 00:00:00;0EF93000-27F5-45FD-A2BD-B94BA8CADF92;;1;167,0;160,0;5610J0025
57693;21;28/09/2024 00:00:00;;;1;128,0;137,0;5610J0026
57695;11;28/09/2024 00:00:00;;;1;46,0;;5610J0027
57697;12;24/09/2024 00:00:00;41a073d6-744d-4da4-ae35-4b54514dbaac;;1;51,0;;5610J0028
57698;11;24/09/2024 00:00:00;8e7f920c-6889-4262-83cf-2bb9556aae7c;;1;48,0;;5610J0028
57699;12;02/09/2024 00:00:00;13c5c66c-7a82-4da4-825b-65847584fbf3;;1;52,0;;5610J0063
57700;31;25/09/2024 00:00:00;;;1;172,0;;5610J0063
57702;31;22/09/2024 06:14:00;E9A6AB5B-B508-4713-8315-F4647615AD55;;1;250,0;;5610J0029
57703;12;06/09/2024 00:00:00;;;1;48,0;;5610J0030
57707;12;15/09/2024 00:00:00;2F5D7B9A-20D3-4360-830B-796AC9F0A948;;1;38,0;;5610J0032
57709;11;20/09/2024 00:00:00;;;1;41,0;;5610J0033
57710;31;23/09/2024 00:00:00;;;1;146,0;;5610J0033
57712;31;07/09/2024 10:56:00;790F5E65-2402-4A20-A596-03B4A93039C2;;1;247,0;;5610J0064
57714;32;05/09/2024 00:00:00;;;1;163,0;166,0;5610J0034
57718;31;14/09/2024 00:00:00;5e725aea-a070-41f7-ae05-7834a6130027;;1;180,0;;5610J0036
57720;31;09/09/2024 00:00:00;2c5a9cab-330b-44ea-89fa-31a623ea784d;;1;181,0;;5610J0037
57721;21;06/09/2024 00:00:00;;;1;123,0;;5610J0065
57723;31;21/09/2024 00:00:00;30DD1C21-25D5-4C26-9040-001EF5430823;;1;161,0;161,0;5610J0038
57725;22;03/09/2024 09:30:00;;;1;138,0;;5610J0042
57726;31;10/09/2024 16:25:00;;;1;250,0;;5610J0042
57727;22;04/09/2024 00:00:00;89932F6C-5A2C-4ECD-8A0A-42B76496EBD7;;1;147,0;;5610J0043
57728;31;30/09/2024 17:44:00;FF520A8C-27BC-4D4A-BBBB-4175ED88C6CA;;1;;;5610J0043
57729;22;06/09/2024 14:16:00;7C0200FE-0C85-4940-B1E5-10781406C50D;;1;130,0;;5610J0044
57730;31;03/09/2024 18:36:00;6EB6DB55-3649-4006-923E-6D24CF9784D9;;1;221,0;;5610J0044
57731;11;15/09/2024 00:00:00;bd0dcee6-9106-4b98-b26a-7b7ea3b363cf;;1;56,0;;5610J0045
57733;32;19/09/2024 00:00:00;DDAE2E63-07DD-4F02-ADFD-000CBBFDA6AA;100000157733;1;165,0;;5610J0046
57735;22;18/09/2024 10:22:00;AF59D0F7-63D0-497B-88EB-D68C11BB78E1;;1;112,0;;5610J0047
57736;31;19/09/2024 14:30:00;DDD6BBD4-0CEE-4BBB-A6A5-3F39538F1E5A;;1;262,0;;5610J0047
57739;22;03/09/2024 10:25:00;2D4FAFD8-A99F-4027-A301-A0AB6D281D34;;1;144,0;;5610J0040
57745;21;20/09/2024 13:36:00;11E9460E-6534-4DF2-BB42-ED39AB2060C7;;1;129,0;;5610J0048
57746;31;06/09/2024 00:00:00;CB7A11AC-998A-4077-8982-41BDB68BA17A;;1;0,0;;ERR
57748;31;15/09/2024 00:00:00;;;1;170,0;;5610J0050
57749;11;07/09/2024 16:07:00;;;1;67,0;;5610J0051
57750;31;21/09/2024 00:00:00;05147699-8a6d-4efb-828c-1d6c9d5cf280;;1;264,0;;5610J0051
57752;31;27/09/2024 00:00:00;d55eb208-a358-4e89-bc23-642b6889c80f;;1;168,0;;5610J0068
57755;21;22/09/2024 00:00:00;d01e0479-d9b1-435f-8c0b-3ec16d4fb9a6;;1;125,0;;5610J0053
57756;32;26/09/2024 00:00:00;a4f1f03d-7b40-4ef6-84ae-1b8c3c80c609;;1;175,0;;5610J0053
57758;31;23/09/2024 00:00:00;99c7b9eb-c074-4b53-97f7-28827707549a;;1;239,7;;5610J0067
57761;21;09/09/2024 00:00:00;39952a99-8709-4305-8875-3d77ea2e7e71;;1;116,0;;5612J0004
57763;31;22/09/2024 09:19:00;;;1;160,0;;5612J0004
57767;31;22/09/2024 00:00:00;349936a4-e610-4884-ae0a-486dfea35a8a;;1;201,0;;5612J0010
57768;21;25/09/2024 18:10:00;;;1;138,0;;5612J0011
57769;22;17/09/2024 00:00:00;;;1;122,0;;5612J0012
57771;31;14/09/2024 00:00:00;1a91d613-2d9f-445f-bd1b-051edc502ee0;;1;247,0;;5612J0014
57772;22;03/09/2024 00:00:00;;;1;107,0;;5612J0053
57773;21;03/09/2024 12:38:00;3CD8A226-E7CC-43FC-9CAC-2BB1695E7950;;1;112,0;;5612J0054
57774;11;18/09/2024 17:06:00;0F99EA76-4107-459A-8929-122D68F7A676;;1;119,0;;5612J0016
57775;31;06/09/2024 16:00:00;;;1;188,0;;5612J0017
57780;22;08/09/2024 15:57:00;702F371C-7A78-488F-9153-5B2CA4493CDA;;1;115,0;;5612J0019
57781;21;13/09/2024 12:24:00;5DB37C79-B0E7-4F24-89E9-C5BE5C99D30C;;1;119,0;;5612J0019
57782;22;18/09/2024 16:40:00;402D8A78-52B9-4C39-ACBE-173704BE0DB9;;1;127,0;;5612J0020
57783;31;28/09/2024 00:00:00;859c27f0-5c15-4de2-aa14-b821263dd0e8;;1;;;5612J0021
57790;31;01/09/2024 00:00:00;22a5ba03-2924-4389-b4d0-f858ae49de49;;1;175,0;;5612J0027
57793;21;01/09/2024 00:00:00;558b46ae-e337-450f-9cfd-1d80c768d594;;1;120,0;;5612J0030
57795;21;07/09/2024 00:00:00;16557737-620d-4377-8887-d2dfa80acf00;;1;130,0;;5612J0051
57801;21;04/09/2024 00:00:00;;;1;124,0;;5612J0038
57802;21;04/09/2024 00:00:00;;;1;144,0;;5612J0039
57803;31;14/09/2024 22:20:00;;;1;;;5612J0040
57807;12;29/09/2024 09:26:00;2ED14336-B628-463E-AD00-AF5B83A6F605;;1;70,0;;5622J0001
57809;12;25/09/2024 11:00:00;;;1;58,0;;5622J0002
57810;31;27/09/2024 00:00:00;1d5b33a5-d431-432e-8a46-2e0105ff490c;;1;265,0;;5622J0002
57811;12;28/09/2024 00:00:00;;;1;71,0;;5622J0003
57812;31;25/09/2024 00:00:00;10916044-B2A1-45A6-BDE0-D6EF720E1094;;1;161,0;;5622J0003
57814;31;28/09/2024 00:00:00;98b54d89-62f1-4b8b-b3ab-f52da1406174;;1;279,5;;5622J0005
57817;21;27/09/2024 00:00:00;ba1ca7ab-4f52-451e-b2c3-99e786b60672;;1;170,0;165,0;5622J0006
57827;11;28/09/2024 00:00:00;0e8d1f9a-2296-4f9e-b80f-aff85decdcbe;;1;49,8;52,0;5622J0027
57828;31;29/09/2024 00:00:00;fb06184d-65cc-47fb-a15e-1f94e74cd58f;;1;189,0;;5622J0027
57829;12;28/09/2024 12:54:00;;;1;63,0;;5622J0028
57833;22;25/09/2024 00:00:00;CDEDB693-17E7-4477-B6EE-C65C810653F6;;1;108,0;;5622J0033
57839;11;30/09/2024 16:24:00;5DA505F8-B761-4ABD-87E6-5A3C59FCDB6F;;1;72,0;;5622J0023
57842;31;27/09/2024 00:00:00;0805f93d-0bcd-4d98-9ef8-b263813af73a;;1;;;5622J0029
57848;32;25/09/2024 00:00:00;719552f2-a749-44f4-b01d-b1ea0b9e7b6b;;1;;;5622J0011
57852;31;27/09/2024 16:47:00;B2983511-B6BB-44FD-A188-300DFE8FDA8D;;1;;;5622J0025
57855;12;01/10/2024 00:00:00;;;1;;;5622J0014
57856;32;26/09/2024 14:32:00;;;1;177,0;;5622J0014
57859;22;27/09/2024 00:00:00;522770f5-c788-4812-b167-5d9c8048af1c;;1;105,0;;5622J0016
57861;11;25/09/2024 16:18:00;95D3755F-CFAF-4FEC-BBDC-94A8383142F6;100000057861;1;69,0;;5622J0017
57862;31;30/09/2024 10:31:00;E015AF0C-D273-4D92-8CC4-8968A8359C0F;100000057862;1;209,0;;5622J0017
57865;22;29/09/2024 14:05:00;;;1;;;5622J0032
57869;11;27/09/2024 00:00:00;b7aa742e-28b3-439f-8717-0d87ce2e3866;100000057869;1;67,0;;5622J0017
57870;32;26/09/2024 00:00:00;af4d283e-82e0-4885-a9f3-8417a42ca0b7;100000057870;1;175,0;;5622J0017
57871;22;25/09/2024 00:00:00;60D6FF12-15DF-4C2E-9764-F347C3C78D7C;;1;132,0;;5622J0036
57872;21;26/09/2024 08:33:00;CEAFDF17-FB80-4E17-A4D5-E55AE41D7AD3;;1;108,0;;5622J0036
57876;31;26/09/2024 00:00:00;9522bccc-c8a8-4d8e-906a-be5f996666a9;;1;250,0;;5622J0037
57879;11;27/09/2024 12:32:00;7A8E45D0-16C2-4DE1-9881-37F6A3E7B9FE;;1;52,0;;5622J0035
57880;31;25/09/2024 15:33:00;BE91FFCC-1D4F-4F02-B866-D1261C76216F;;1;286,0;;5622J0035
57883;22;25/09/2024 00:00:00;6f80c1fa-a420-418b-8531-9145ad599f3f;;1;157,0;157,0;5624J0011
57884;31;28/09/2024 00:00:00;c56c6609-9446-484d-812e-35e80c39798e;;1;314,0;;5624J0011
57887;12;26/09/2024 00:00:00;f15b9d91-79de-4ede-83f9-dbdd2e442bb1;;1;75,0;;5624J0003
57888;31;29/09/2024 00:00:00;480b2765-1dac-4425-a601-70534cb1f135;;1;190,0;;5624J0003
57890;31;29/09/2024 00:00:00;7cb01df3-fd76-4076-9c47-2007687f6175;;1;215,0;;5624J0010
57891;11;25/09/2024 08:47:00;CA99986F-F8CB-42FE-A219-CBDDA289773D;;1;60,0;;5624J0004
57895;21;30/09/2024 12:41:00;;;1;138,0;;5624J0015
57896;31;28/09/2024 17:13:00;;;1;191,0;;5624J0015
57897;12;25/09/2024 12:33:00;8981CEFF-5AE7-453E-A56E-47F04742B98B;;1;90,0;;5624J0016
57898;31;25/09/2024 12:36:00;1C0FE07D-00A6-42E3-B7FE-BD8E2064E626;;1;243,0;;5624J0016
57899;21;29/09/2024 00:00:00;;;1;;;5624J0017
57900;31;25/09/2024 00:00:00;;;1;201,0;;5624J0017
57905;22;28/09/2024 00:00:00;3c692ad3-6579-4bfa-9aef-bbb126a23ab9;;1;;;5607J0012
57907;32;25/09/2024 00:00:00;b7d2cb00-f0ff-4171-93f0-f9d44af4a985;100000057907;1;155,0;144,0;5607J0018
57908;32;27/09/2024 00:00:00;0e8a6db4-b27d-4a9e-b62a-5f35302a194d;100000057908;1;165,0;;5607J0018
57909;12;02/10/2024 07:04:00;89953D41-7881-4863-AB1B-F82E3BCDF611;;1;;;5607J0004
57910;32;02/10/2024 07:29:00;EF4DBDE2-9F37-4777-874F-069A0C197EE9;;1;;;5607J0004
57911;32;28/09/2024 00:00:00;9C8A3C10-C4C8-4F89-B94F-498D49568274;;1;174,0;;5607J0013
57912;12;30/09/2024 00:00:00;B9B6EA0D-BA1B-4B60-8AB5-9ADC29298A97;;1;65,0;;5607J0013
57913;21;28/09/2024 00:00:00;52f618a7-d776-46ff-ae1f-0d18abb53271;;1;139,0;;5607J0008
57914;31;28/09/2024 00:00:00;6215d626-ca8d-4305-9c0c-d41647435eef;;1;203,0;;5607J0008
57915;22;26/09/2024 00:00:00;135194d7-f39a-4163-9bb6-336bd6c36c39;;1;144,0;;5607J0009
57916;12;28/09/2024 00:00:00;d4e8e4a2-1ea9-4bd4-a169-b792d1fd1482;100000057916;1;49,0;49,0;5607J0009
57917;21;26/09/2024 17:07:00;;;1;;;5607J0010
57918;11;27/09/2024 10:42:00;;;1;49,0;;5607J0010
57919;22;25/09/2024 08:01:00;67D195C0-1FB1-4F51-A836-3DDFF486A843;;1;;;5607J0011
57920;31;27/09/2024 16:41:00;AB094669-3BBB-4DAB-A9B8-12DFE324409B;;1;;;5607J0011
57921;12;01/10/2024 15:28:00;;;1;;;5607J0017
57922;31;30/09/2024 07:44:00;;;1;;;5607J0017
57924;31;29/09/2024 00:00:00;61a768ea-d763-4181-be61-9e19d382568c;;1;;;5636J0001
57927;11;28/09/2024 00:00:00;7645ce90-40cb-42fc-9ec4-ddc77f3825dd;;1;;;5636J0003
57928;11;30/09/2024 00:00:00;11ef10ad-fb32-4f6e-86da-6da1f6ffdf0a;;1;;;5636J0003
57929;22;29/09/2024 00:00:00;79cc4fe9-553e-4e72-9346-f90aed731c72;;1;158,0;;5636J0004
57930;32;30/09/2024 00:00:00;4fa19322-4681-4e16-867e-90f7726a7396;100000057929;1;167,0;;5636J0004
57931;11;25/09/2024 00:00:00;5d609275-ffa9-43d1-b9e9-bdc51e36c30e;;1;48,0;;5636J0005
57935;21;25/09/2024 15:27:00;;;1;124,0;;5636J0007
57936;11;30/09/2024 17:20:00;;;1;76,0;;5636J0007
57937;11;30/09/2024 14:34:00;778C33A8-ED70-481C-8214-E0BCEA43C552;;1;;;5636J0008
57939;12;27/09/2024 00:00:00;a9a39b83-d09b-44b9-968a-b685bc55eb96;;1;42,0;;5636J0009
57940;12;27/09/2024 00:00:00;d8d37a6a-0281-46bf-b240-1da28fbb5823;;1;46,0;;5636J0009
57941;21;26/09/2024 13:43:00;0281ABD8-D568-4E0E-8F2A-3E8F68D283C6;;1;;;5636J0023
57942;31;28/09/2024 09:29:00;851177AB-E278-4443-89E8-7FE39775ACC0;;1;;;5636J0023
57943;22;30/09/2024 14:10:00;;;1;115,0;;5636J0025
57945;31;26/09/2024 00:00:00;;;1;187,0;;5636J0015
57947;21;28/09/2024 00:00:00;b3e9557b-48db-49ce-af65-c971d65f3a7a;;1;;;5636J0016
57948;12;26/09/2024 00:00:00;;;1;74,0;;5636J0016
57949;12;30/09/2024 00:00:00;a57cac45-a036-4717-b851-8377103cfea2;;1;58,0;;5636J0027
57952;31;27/09/2024 11:37:00;7C97F2DE-232E-48E8-9A1A-113379CA10A3;;1;230,0;;5636J0019
57953;12;25/09/2024 00:00:00;324d3082-d685-4c79-9164-f86c69dcd08d;;1;49,2;;5636J0020
57954;31;27/09/2024 00:00:00;a1cab12c-9e01-4c54-883b-f16a7a720624;;1;197,0;;5636J0020
57955;21;25/09/2024 00:00:00;184fc8b2-1154-434e-89dc-b261694ecbe0;;1;136,0;;5636J0021
57956;21;25/09/2024 00:00:00;569a81ab-d987-42bd-b85d-cf1b376ebf6c;;1;135,0;;5636J0021
57957;21;25/09/2024 16:28:00;4A85ACBF-9376-43DE-B094-631AC545AA4D;;1;131,0;;5636J0028
57958;21;27/09/2024 08:40:00;CAC9B582-1C13-4372-8EC4-FDF0E693B41B;;1;82,0;;5636J0028
57960;31;01/10/2024 19:23:00;;;1;;;5636J0029
57961;12;29/09/2024 00:00:00;4d08d829-a4ec-4697-8353-0f0e52bc6be1;;1;45,0;;5628J0001
57962;22;30/09/2024 00:00:00;93b73f80-880e-4136-a194-41c11cc452a9;;1;;;5628J0001
57963;21;01/10/2024 15:42:00;14147F7B-A884-4706-8CD2-CC89FD7FB706;;1;;;5628J0001
57964;32;29/09/2024 00:00:00;36bab39c-70b9-4d0e-92e4-8f74aec68623;;1;212,0;;5628J0001
57969;11;01/10/2024 00:00:00;4368be5c-8280-4bb1-9dfe-7a78fdc1540c;;1;;;5628J0003
57970;22;26/09/2024 00:00:00;66069596-a7f2-41a6-aa09-1ece6d9b08be;;1;;;5628J0003
57971;31;27/09/2024 13:14:00;FAC97640-EF55-4BA3-8B1F-2374EE563B20;100000057971;1;;;5628J0003
57980;11;29/09/2024 14:00:00;A41B4913-A962-459E-B38A-74D088978CB3;;1;73,0;;5628J0006
57981;22;27/09/2024 15:37:00;1F8E72D2-05A1-4C3A-A7B4-AE1479BD7711;;1;;;5628J0006
57982;31;25/09/2024 18:27:00;48E3BAA8-CDFE-4F96-8787-B7C2271EC27E;;1;;;5628J0006
57983;11;29/09/2024 14:01:00;9D5A8769-CD27-4548-956A-FDC3E542CE2D;;1;72,0;;5628J0006
57984;22;29/09/2024 10:29:00;;;1;;;5628J0007
57985;22;29/09/2024 10:29:00;;;1;;;5628J0007
57986;31;27/09/2024 00:00:00;;;1;;;5628J0007
57990;11;27/09/2024 00:00:00;c175e468-db08-4267-8edc-c648c3d78d51;;1;53,0;;5628J0009
57991;21;28/09/2024 00:00:00;59454bf9-50f5-4a44-84ad-cf3b0b0ad34d;;1;137,0;;5628J0009
57992;21;28/09/2024 00:00:00;3fe83d5f-4874-4924-8332-7cab4025bfe0;;1;139,0;;5628J0009
57993;31;29/09/2024 00:00:00;4c82ecd4-5302-4c33-a1b7-00e4a844934e;;1;226,0;;5628J0009
57999;31;27/09/2024 00:00:00;35a32f70-ad4f-43e4-bda8-03ce0879a533;;1;150,0;;5628J0011
58003;12;28/09/2024 18:20:00;B949F74E-31A3-4C46-A4A7-178F2C1B7FCA;;1;80,0;;5628J0013
58004;21;25/09/2024 18:47:00;B5E05FDA-AA52-46B7-A990-BCCA33BCB04F;;1;134,0;;5628J0013
58005;31;30/09/2024 00:00:00;fe650e7c-7104-4036-af0b-fa25e5f69d3a;;1;217,0;;5628J0013
58006;22;26/09/2024 14:09:00;394CBCCB-CE33-4ABD-95CB-B98D0CB0CC9C;;1;116,0;;5628J0013
58010;22;30/09/2024 12:51:00;B3F28435-03E8-4915-97A6-AB01248BFDBD;100000058010;1;122,0;;5628J0014
58013;22;26/09/2024 00:00:00;1a9d081d-2c04-4070-a335-b75f80837b23;;1;97,0;;5628J0015
58014;31;28/09/2024 00:00:00;329824a5-7a02-478a-8497-25b0164b9c24;;1;194,0;189,0;5628J0015
58015;11;28/09/2024 00:00:00;0179bdc3-c2b9-495c-9bc7-1e8265b30417;;1;61,0;;5628J0015
